	Participant ID	Slide Nr.	Learning Style Dimension	Content per AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
857	27	25.0	Perception	Multiple choice question	28272	182.0	60.0	676.0	155	25768.0	256.0	Supporting text	2,88966	22776	195.0	64.0	676.0	117	25768.0	256.0	2,88598	48903	8151.0	132.0	25924.0	6	25768.0	2184.0	49047	8175.0	160.0	25972.0	6	25744.0	2208.0	0	108	25744.0	27952.0	91,12	102,93
858	27	25.0	Perception	Supporting text	20720	216.0	64.0	548.0	96	1260.0	64.0	Supporting text	2,9567	19972	222.0	84.0	548.0	90	2428.0	232.0	2,94975	24980	12490.0	496.0	24484.0	2	1260.0	24484.0	24996	12498.0	512.0	24484.0	2	1260.0	24484.0	0	90		25744.0		91,12
859	27	28.0	Perception	Multiple choice question	27728	204.0	72.0	636.0	136	428.0	112.0	Multiple choice question	3,06288	22900	220.0	72.0	636.0	104	1908.0	208.0	3,06241	37835	7567.0	484.0	18500.0	5	428.0	996.0	37983	7597.0	504.0	18524.0	5	412.0	1012.0	0	105	412.0	16876.0	62,49	444,62
860	27	28.0	Perception	Supporting text	14496	204.0	68.0	332.0	71	37272.0	144.0	Multiple choice question	2,86769	13416	213.0	72.0	332.0	63	37820.0	72.0	2,85873	18644	18644.0	18644.0	18644.0	1	37272.0	18644.0	18692	18692.0	18692.0	18692.0	1	37224.0	18692.0	0	62		55915.0		520,9
861	27	31.0	Perception	First additional material	16024	211.0	72.0	472.0	76	275.0	76.0	First additional material	3,07678	14192	225.0	72.0	472.0	63	6751.0	148.0	3,05962	19992	3998.0	96.0	18620.0	5	275.0	900.0	20056	4011.0	124.0	18636.0	5	275.0	900.0	0	61	6731.0	6899.0	64,86	163,94
862	27	31.0	Perception	Second additional material	14824	198.0	68.0	696.0	75	26007.0	72.0	First additional material	2,93575	12000	222.0	80.0	696.0	54	26623.0	244.0	2,92852	20608	6869.0	860.0	17620.0	3	26007.0	860.0	20680	6893.0	888.0	17644.0	3	25979.0	888.0	0	55	25979.0	26867.0	236,38	183,51
863	27	31.0	Perception	Third additional material	15944	199.0	60.0	500.0	80	47446.0	288.0	First additional material	2,81167	13708	218.0	60.0	500.0	63	47446.0	288.0	2,80815	21184	21184.0	21184.0	21184.0	1	47446.0	21184.0	21232	21232.0	21232.0	21232.0	1	47398.0	21232.0	0	64	47398.0		380,38	
864	28	4.0	Understanding	Table of contents	17118	214.0	68.0	652.0	80	496.0	148.0	Table of contents	2,41179	16980	215.0	68.0	652.0	79	496.0	148.0	2,41153	19638	3928.0	139.0	11520.0	5	496.0	11520.0	19866	3973.0	139.0	11580.0	5	436.0	11580.0	0	60	12595.0	12015.0	696,56	621,24
865	28	4.0	Understanding	Summary	17512	184.0	60.0	616.0	95	17607.0	132.0	Table of contents	2,40113	14624	187.0	60.0	616.0	78	17607.0	132.0	2,39971	28363	7091.0	2168.0	17684.0	4	17607.0	5236.0	28523	7131.0	2188.0	17748.0	4	17547.0	5296.0	0	65	17547.0		401,06	
866	28	7.0	Input	Key words	5408	174.0	68.0	472.0	31	3173.0	88.0	Key words	2,34843	4976	172.0	68.0	472.0	29	3173.0	88.0	2,3467	6204	620.0	144.0	1740.0	10	3173.0	836.0	6388	639.0	152.0	1764.0	10	3165.0	844.0	0	13	4285.0	4009.0	32,1	127,36
